item,classification,evidence_code,notes
HP,完全復元,"battle_emulator.py:428 scenario.PlayerHp = max(1, int(engine_state['hp']))","Exact value restored, EXCEPT clamped to a minimum of 1 - a value of 0 (which should already be terminal/defeat) cannot be round-tripped as-is; not relevant in practice since hp<=0 states are filtered before any restore is attempted."
MaxHp,完全復元,batty_emulator.py:429 scenario.PlayerMaxHp = int(engine_state['maxHp']),Exact value restored.
Block,完全復元,battle_emulator.py:451-452 (if present) scenario.PlayerBlock = int(engine_state['block']),Exact value restored when present in engine_state.
Energy,完全復元,"battle_emulator.py:445-446, module docstring: 'CombatScenario.Energy (added upstream) means a restored snapshot reproduces the exact energy'",Explicitly called out as a prior fix - confirmed exact restore.
Hand/Draw/Discard/Exhaust (composition+order+per-card upgrade),完全復元,"battle_emulator.py:430-433, _card_instances_from_engine_cards() (384-399) preserves id/upgraded/tinkerTime per card in list order","Pile CONTENTS and per-card upgrade/tinker-time state restore exactly as an explicit ordered list. Does NOT by itself guarantee future reshuffle order continuity - see 'RNG' row."
PlayPile (cards played this turn),未復元,"build_scenario_from_state() (402-493) never reads or sets anything named PlayPile/playPile - no CombatScenario.PlayPile field is populated anywhere in this function","A mid-turn restore silently drops which cards were already played THIS turn. Any relic/power/card whose logic depends on 'cards played this turn' (retain-tracking, combo counters, etc.) loses that context on every restore, not just at true turn boundaries. Flagged as a genuine restore-coverage gap, not verified to have caused observed harm."
Card upgrade / modifier (Tinker Time etc.),完全復元,"_card_instance_from_payload() (249-260): CardId/IsUpgraded/TinkerTimeType/TinkerTimeRider all set from the engine card dict",Exact for the fields the observation schema exposes.
Relics (identity),完全復元 (identity only),battle_emulator.py:453 scenario.Relics = str_list([r['id'] for r in engine_state.get('relics') or []]),"Only the LIST OF RELIC IDS is sent - see 'one-shot relic/power consumption state' row for what this identity-only restore does NOT carry."
Potions,完全復元 (identity+slot only),"battle_emulator.py:434-437, _potion_scenarios() (277-287) sets Slot+PotionId per non-empty potion",No potion-internal state beyond slot/id is part of the exposed schema to begin with.
Powers (player + per-enemy),近似復元,"_power_stacks() (233-246): PowerId/Amount/AssociatedCard restored per stack",Restores everything the GetObservation() schema exposes for a power stack. Any INTERNAL power state not surfaced by that schema (not confirmed to exist or not exist) would be invisible to this restore path - classified 近似復元 rather than 完全復元 because completeness is bounded by what the schema exposes, not independently verified against engine internals.
Orbs,完全復元,"_orb_scenarios() (298-312): OrbId/BasePassiveValue/BaseEvokeValue/OrbSlots restored, Decimal-safe (_decimal_value(), 290-295)",Exact for the fields exposed.
Enemy HP/intent/status,近似復元,"build_scenario_from_state() enemy loop (457-487): Hp/MaxHp/Block/SlotName/Powers/ForcedMove(intent)/StateLog restored; dead enemies (isAlive=False) are dropped entirely from the rebuilt scenario (459-460)",MaxHp is separately patched back in Python after each restore via BattleEmulator._wrap()'s enemy_max_hps tracking (589-633) because EnemyScenario has no MaxHp field of its own on the ENGINE side per-restore (only Hp) - a documented, deliberate Python-side compensation for an asymmetry in the restore contract itself.
Turn number / side,未復元 (Python-side substitute only),"battle_emulator.py:670-673 initialize() comment: 'turnNumber always resets to 1 under ResetFromScenario... CombatScenario has no way to carry a persisted turn count... tracked here in Python instead'",CONFIRMED BY CODE COMMENT: every restore (not just the first initialize()) resets the ENGINE's own internal turn concept to 1. Python's own battle_state.turn counter is a SEPARATE, independently-tracked substitute (incremented only on 'system' actions in step_live_action(), line 747) - it is not read back from the engine and does not make the engine itself believe it is mid-combat past turn 1.
RNG (future draw/shuffle/randomized-effect continuity),未復元 (pile order only, cursor not preserved),"build_scenario_from_state():492 scenario.Seed = int(engine_state.get('seed', 1)) - the ORIGINAL scenario seed, not any 'current RNG cursor'. shuffle_rng_seed is None unless explicitly pinned via with_shuffle_seed() (used only by lookahead branching, not by normal online-eval/teacher-gen restores).","Visible pile CONTENTS/order restore exactly (see Hand/Draw/... row), but any randomness NOT already baked into a pile's explicit card list (future reshuffle order once a pile currently shown as non-empty eventually empties; any monster-side or card-effect randomization not otherwise pinned) is reseeded from the scenario's ORIGINAL seed on every restore, not continued from wherever the live RNG cursor had actually advanced to after N real decisions."
Command queue,不明,No CombatScenario field or engine_state key corresponding to a queue/pending-command concept was found in this file,"Not confirmed to exist or not exist in the underlying engine at all from the Combat-side code alone - Combat-side code has no explicit handling either way."
ActionContinuation,未復元 (by design - live-only),"_pending_choice_scenario() (315-345): returns None when scope=='ActionContinuation' or scenarioRestorable is False; apply_action() (881-911) explicitly RAISES RuntimeError if asked to restore a battle_state that is itself ActionContinuation-pending, unless live_game is supplied","Intentional, enforced design constraint, not an oversight - see battle_emulator.py's own module docstring and apply_action()'s error message. ActionContinuation can only be progressed on the SAME live GameInstance that produced it, never reconstructed from a Python snapshot."
Pending Choice (StartOfCombat-scope, scenario-restorable),近似復元,"_pending_choice_scenario() (315-345) restores ChoiceType/MinSelect/MaxSelect/Options when scenarioRestorable is not False and scope != 'ActionContinuation'","SelectedCount (how many already chosen) is NOT part of PendingChoiceScenario's fields set here - only Options/MinSelect/MaxSelect/ChoiceType. Classified 近似復元 rather than 完全復元 on that basis."
start-of-combat effect適用済み状態,未復元 / no distinct concept exists,"No field anywhere in build_scenario_from_state()/CombatScenario marks 'start-of-combat effects already resolved' as distinct from a genuinely fresh combat start","ARCHITECTURAL: ResetFromScenario is the ONLY entry point for establishing a live combat state in this API - used identically for a true fresh-combat start (initialize()) and for every single mid-combat resume (_restore()). Nothing in the restored CombatScenario distinguishes the two cases to the engine. See known_risks.md."
turn-start effect適用済み状態,未復元 / no distinct concept exists,Same absence as the row above - no field exists to suppress a turn-start hook from re-firing on restore,"Same architectural root cause as 'start-of-combat effect適用済み状態' above - not independently implemented, not verified either way whether the engine's own internal logic re-fires such hooks on ResetFromScenario. This is the crux of the primary hypothesis for Scenario 6546-21 - see normal_online_sequence.md's Scenario 6546-21 section and this task's known_risks.md."
event hook登録状態,不明,No corresponding field or code path found in the files read for this task,Not investigated further - out of this task's read-only documentation scope.
one-shot relic／powerの消費状態,未復元,"battle_emulator.py:453, scenario.Relics = str_list([...ids only...]) - no per-relic counter/consumed-flag/cooldown payload structure exists anywhere in _pending_choice_scenario/_power_stacks/the Relics assignment","CONFIRMED BY CODE: only relic IDENTITY (which relics the player has) is restored - any internal 'have I already triggered this combat/turn' state a relic might carry is not part of what's sent to ResetFromScenario, and therefore cannot survive a restore. This is the single strongest code-grounded candidate mechanism for a relic whose effect is meant to fire ONCE (e.g. at true start of combat) re-firing on every subsequent restore instead - see known_risks.md and the 6546-21 flow doc for how this connects to the TOOLBOX/FESTIVE_POPPER hypothesis specifically."
